id_transacao,data,funcionario,cargo,descricao,valor,categoria,departamento,amount,date,beneficiary
TX_1000,2008-04-01,Pam Beesly,Recepcionista,Compra de Café e Açúcar,25.5,Copa e Cozinha,Administrativo,25.5,2008-04-01,unknown
TX_1001,2008-04-01,Angela Martin,Contadora,Papelaria Staples (Canetas/Grampos),42.0,Material de Escritório,Contabilidade,42.0,2008-04-01,unknown
TX_1002,2008-04-01,Andy Bernard,Vendedor,Papelaria Local - Despesa de Material de Escritório,82.84,Material de Escritório,Vendas,82.84,2008-04-01,unknown
TX_1003,2008-04-01,Darryl Philbin,Chefe de Depósito,Água Crystal - Despesa de Copa e Cozinha,37.59,Copa e Cozinha,Depósito,37.59,2008-04-01,unknown
TX_1004,2008-04-01,Meredith Palmer,Rel. Fornecedores,Dunder Mifflin Warehouse - Despesa de Logística,13.26,Logística,Suprimentos,13.26,2008-04-01,unknown
TX_1005,2008-04-01,Kevin Malone,Contador,Água Crystal - Despesa de Copa e Cozinha,8.01,Copa e Cozinha,Contabilidade,8.01,2008-04-01,unknown
TX_1006,2008-04-01,Michael Scott,Gerente Regional,Cugino's - Despesa de Refeição com Cliente,205.4,Refeição com Cliente,Gerência,205.4,2008-04-01,unknown
TX_1007,2008-04-01,Dwight Schrute,Vendedor,Amtrak Train - Despesa de Viagem,20.78,Viagem,Vendas,20.78,2008-04-01,unknown
TX_1008,2008-04-01,Toby Flenderson,RH,Manutenção de Copiadora - Despesa de Manutenção,19.08,Manutenção,Recursos Humanos,19.08,2008-04-01,unknown
TX_1009,2008-04-01,Pam Beesly,Recepcionista,FedEx - Despesa de Correios,40.03,Correios,Administrativo,40.03,2008-04-01,unknown
TX_1010,2008-04-01,Michael Scott,Gerente Regional,Dunkin Donuts - Despesa de Refeição,179.05,Refeição,Gerência,179.05,2008-04-01,unknown
TX_1011,2008-04-01,Andy Bernard,Vendedor,Estacionamento Central - Despesa de Transporte Local,129.13,Transporte Local,Vendas,129.13,2008-04-01,unknown
